2.0000000000000000E+02	5.9257527519397900E-01
3.0000000000000000E+02	5.9190687416866900E-01
4.0000000000000000E+02	5.9154461942136900E-01
5.0000000000000000E+02	5.9131697869336700E-01
6.0000000000000000E+02	5.9114922166536700E-01
7.0000000000000000E+02	5.9102295606597300E-01
8.0000000000000000E+02	5.9092389902225100E-01
9.0000000000000000E+02	5.9084378752143600E-01
1.0000000000000000E+03	5.9077747538478400E-01
2.0000000000000000E+03	5.9044569161364700E-01
3.0000000000000000E+03	5.9031768317246000E-01
4.0000000000000000E+03	5.9026325205853600E-01
5.0000000000000000E+03	5.9022048409334200E-01
6.0000000000000000E+03	5.9019141450932900E-01
7.0000000000000000E+03	5.9017048978995700E-01
8.0000000000000000E+03	5.9015480224272500E-01
9.0000000000000000E+03	5.9014268266601000E-01
1.0000000000000000E+04	5.9014815076462500E-01
